Date,Hill,Category,Name,Difficulty,Pricing
2024-11-11 12:00:00,Fernie,Skiing Lessons,Intermediate Skiing Lessons,Intermediate,70
2023-04-23 11:00:00,Fernie,Skiing Lessons,Intermediate Skiing Lessons,Intermediate,70
2023-08-06 12:00:00,Fernie,Skiing Lessons,Intermediate Skiing Lessons,Intermediate,70
2024-10-20 15:00:00,Fernie,Skiing Lessons,Intermediate Skiing Lessons,Intermediate,70
2024-05-18 14:00:00,Fernie,Skiing Lessons,Intermediate Skiing Lessons,Intermediate,70
2024-09-14 14:00:00,Fernie,Skiing Lessons,Advanced Skiing Lessons,Advanced,70
2024-01-06 15:00:00,Fernie,Skiing Lessons,Advanced Skiing Lessons,Advanced,70
2024-02-29 14:00:00,Fernie,Skiing Lessons,Advanced Skiing Lessons,Advanced,70
2023-11-07 09:00:00,Fernie,Skiing Lessons,Advanced Skiing Lessons,Advanced,70
2025-02-25 14:00:00,Fernie,Skiing Lessons,Advanced Skiing Lessons,Advanced,70
2024-10-12 11:00:00,Fernie,Snowboarding Lessons,Beginner Snowboarding Lessons,Beginner,70
2023-09-15 10:00:00,Fernie,Snowboarding Lessons,Beginner Snowboarding Lessons,Beginner,70
2024-10-20 16:00:00,Fernie,Snowboarding Lessons,Beginner Snowboarding Lessons,Beginner,70
2024-01-17 11:00:00,Fernie,Snowboarding Lessons,Beginner Snowboarding Lessons,Beginner,70
2023-04-04 14:00:00,Fernie,Snowboarding Lessons,Beginner Snowboarding Lessons,Beginner,70
2024-01-22 13:00:00,Fernie,Snowboarding Lessons,Intermediate Snowboarding Lessons,Intermediate,70
2023-10-31 10:00:00,Fernie,Snowboarding Lessons,Intermediate Snowboarding Lessons,Intermediate,70
2024-06-19 13:00:00,Fernie,Snowboarding Lessons,Intermediate Snowboarding Lessons,Intermediate,70
2023-07-08 13:00:00,Fernie,Snowboarding Lessons,Intermediate Snowboarding Lessons,Intermediate,70
2024-07-18 14:00:00,Fernie,Snowboarding Lessons,Intermediate Snowboarding Lessons,Intermediate,70
2024-05-25 12:00:00,Fernie,Snowboarding Lessons,Advanced Snowboarding Lessons,Advanced,70
2023-12-30 11:00:00,Fernie,Snowboarding Lessons,Advanced Snowboarding Lessons,Advanced,70
2023-05-21 10:00:00,Fernie,Snowboarding Lessons,Advanced Snowboarding Lessons,Advanced,70
2023-09-24 16:00:00,Fernie,Snowboarding Lessons,Advanced Snowboarding Lessons,Advanced,70
2024-05-26 11:00:00,Fernie,Snowboarding Lessons,Advanced Snowboarding Lessons,Advanced,70
2024-11-18 11:00:00,Fernie,Ski Racing Lessons,Beginner Ski Racing Lessons,Beginner,100
2024-09-18 13:00:00,Fernie,Ski Racing Lessons,Beginner Ski Racing Lessons,Beginner,100
2024-03-30 09:00:00,Fernie,Ski Racing Lessons,Beginner Ski Racing Lessons,Beginner,100
2024-07-10 10:00:00,Fernie,Ski Racing Lessons,Beginner Ski Racing Lessons,Beginner,100
2024-01-03 09:00:00,Fernie,Ski Racing Lessons,Beginner Ski Racing Lessons,Beginner,100
2023-05-05 09:00:00,Fernie,Ski Racing Lessons,Intermediate Ski Racing Lessons,Intermediate,100
2023-12-15 16:00:00,Fernie,Ski Racing Lessons,Intermediate Ski Racing Lessons,Intermediate,100
2024-07-11 12:00:00,Fernie,Ski Racing Lessons,Intermediate Ski Racing Lessons,Intermediate,100
2024-11-10 13:00:00,Fernie,Ski Racing Lessons,Intermediate Ski Racing Lessons,Intermediate,100
2024-09-22 15:00:00,Fernie,Ski Racing Lessons,Intermediate Ski Racing Lessons,Intermediate,100
2024-01-11 11:00:00,Fernie,Ski Racing Lessons,Advanced Ski Racing Lessons,Advanced,100
2024-02-15 11:00:00,Fernie,Ski Racing Lessons,Advanced Ski Racing Lessons,Advanced,100
2024-06-12 11:00:00,Fernie,Ski Racing Lessons,Advanced Ski Racing Lessons,Advanced,100
2024-10-21 14:00:00,Fernie,Ski Racing Lessons,Advanced Ski Racing Lessons,Advanced,100
2024-03-24 09:00:00,Fernie,Ski Racing Lessons,Advanced Ski Racing Lessons,Advanced,100
2023-12-19 14:00:00,Kickinghorse,Mountain Dining,Torchlight Parade,Casual,50
2023-05-19 15:00:00,Kickinghorse,Apres-Ski,Apres-Ski Party,Casual,30
2024-10-16 11:00:00,Kickinghorse,Snowboarding,Ski Gear Swap,Casual,100
2023-11-06 15:00:00,Kickinghorse,Snowboarding,Ski-In Movie Night,Casual,100
2023-12-01 13:00:00,Kickinghorse,Skiing,Ski and Snowboard Festival,Casual,100
2024-07-06 11:00:00,Kickinghorse,Ski Equipment,Ski Gear Expo,Casual,75
2023-09-03 16:00:00,Kickinghorse,Skiing,Ski and Snowboard Festival,Casual,100
2024-05-15 13:00:00,Kickinghorse,Safety Lessons,Ski Patrol Demonstration,Casual,25
2023-08-17 15:00:00,Kickinghorse,Mountain Dining,Torchlight Parade,Casual,50
2024-12-01 14:00:00,Kickinghorse,Ski Competitions,Ski Cross Competition,Casual,120
2025-03-14 11:00:00,Kickinghorse,Apres-Ski,Ski Resort Wine Tasting,Casual,30
2024-07-08 12:00:00,Kickinghorse,Ski Competitions,Ski Cross Competition,Casual,120
2024-03-23 11:00:00,Kickinghorse,Safety Lessons,Ski Patrol Demonstration,Casual,25
2024-04-28 12:00:00,Kickinghorse,Snowboarding,Ski Gear Swap,Casual,100
2024-04-22 15:00:00,Kickinghorse,Safety Lessons,Ski Patrol Demonstration,Casual,25
2023-07-28 14:00:00,Kickinghorse,Ski Equipment,Ski Gear Expo,Casual,75
2024-03-01 16:00:00,Kickinghorse,Mountain Dining,Torchlight Parade,Casual,50
2024-02-28 16:00:00,Kickinghorse,Snowboarding,Ski-In Movie Night,Casual,100
2024-07-08 12:00:00,Kickinghorse,Mountain Dining,Torchlight Parade,Casual,50
2024-03-16 12:00:00,Kickinghorse,Snowboarding,Ski-In Movie Night,Casual,100
2023-12-08 14:00:00,Kickinghorse,Safety Lessons,Ski Patrol Demonstration,Casual,25
2024-07-01 12:00:00,Kickinghorse,Mountain Adventure,Snowshoeing Expedition,Casual,55
2024-04-28 16:00:00,Kickinghorse,Mountain Adventure,Ski Resort Charity Event,Casual,55
2024-01-22 09:00:00,Kickinghorse,Ski Equipment,Ski Instructor Workshop,Casual,75
2024-10-08 16:00:00,Kickinghorse,Ski Equipment,Ski Instructor Workshop,Casual,75
2023-07-15 16:00:00,Kickinghorse,Mountain Adventure,Snowshoeing Expedition,Casual,55
2024-06-13 10:00:00,Kickinghorse,Safety Lessons,Ski Patrol Demonstration,Casual,25
2024-05-14 16:00:00,Kickinghorse,Ski Equipment,Ski Gear Expo,Casual,75
2025-01-05 16:00:00,Kickinghorse,Safety Lessons,Ski Patrol Demonstration,Casual,25
2023-12-28 13:00:00,Kickinghorse,Mountain Adventure,Ski Resort Charity Event,Casual,55
2024-11-12 16:00:00,Kickinghorse,Mountain Dining,Mountain Restaurant Tasting,Casual,50
2023-10-26 13:00:00,Kickinghorse,Ski Equipment,Ski Gear Expo,Casual,75
2023-04-08 14:00:00,Kickinghorse,Skiing,Night Skiing Experience,Casual,100
2024-02-15 15:00:00,Kickinghorse,Mountain Dining,Mountain Restaurant Tasting,Casual,50
2025-01-06 09:00:00,Kickinghorse,Mountain Adventure,Ski Resort Charity Event,Casual,55
2023-07-04 09:00:00,Kickinghorse,Safety Lessons,Ski Patrol Demonstration,Casual,25
2023-09-27 16:00:00,Kickinghorse,Snowboarding,Ski Gear Swap,Casual,100
2024-08-12 14:00:00,Kickinghorse,Snowboarding,Ski-In Movie Night,Casual,100
2025-01-16 12:00:00,Kickinghorse,Apres-Ski,Ski Resort Wine Tasting,Casual,30
2024-11-19 13:00:00,Kickinghorse,Ski Equipment,Ski Gear Expo,Casual,75
2023-05-03 09:00:00,Kickinghorse,Skiing Lessons,Beginner Skiing Lessons,Beginner,70
2023-07-09 14:00:00,Kickinghorse,Skiing Lessons,Beginner Skiing Lessons,Beginner,70
2024-06-20 11:00:00,Kickinghorse,Skiing Lessons,Beginner Skiing Lessons,Beginner,70
2024-11-20 13:00:00,Kickinghorse,Skiing Lessons,Beginner Skiing Lessons,Beginner,70
2024-04-03 14:00:00,Kickinghorse,Skiing Lessons,Beginner Skiing Lessons,Beginner,70
2024-07-24 13:00:00,Kickinghorse,Skiing Lessons,Intermediate Skiing Lessons,Intermediate,70
2025-01-13 12:00:00,Kickinghorse,Skiing Lessons,Intermediate Skiing Lessons,Intermediate,70
2023-11-29 16:00:00,Kickinghorse,Skiing Lessons,Intermediate Skiing Lessons,Intermediate,70
2023-08-07 12:00:00,Kickinghorse,Skiing Lessons,Intermediate Skiing Lessons,Intermediate,70
2024-12-17 09:00:00,Kickinghorse,Skiing Lessons,Intermediate Skiing Lessons,Intermediate,70
2024-10-09 09:00:00,Kickinghorse,Skiing Lessons,Advanced Skiing Lessons,Advanced,70
2024-09-30 14:00:00,Kickinghorse,Skiing Lessons,Advanced Skiing Lessons,Advanced,70
2024-02-10 15:00:00,Kickinghorse,Skiing Lessons,Advanced Skiing Lessons,Advanced,70
2023-04-09 12:00:00,Kickinghorse,Skiing Lessons,Advanced Skiing Lessons,Advanced,70
2024-11-10 10:00:00,Kickinghorse,Skiing Lessons,Advanced Skiing Lessons,Advanced,70
2025-02-02 11:00:00,Kickinghorse,Snowboarding Lessons,Beginner Snowboarding Lessons,Beginner,70
2023-06-23 13:00:00,Kickinghorse,Snowboarding Lessons,Beginner Snowboarding Lessons,Beginner,70
2023-06-04 10:00:00,Kickinghorse,Snowboarding Lessons,Beginner Snowboarding Lessons,Beginner,70
2023-05-20 11:00:00,Kickinghorse,Snowboarding Lessons,Beginner Snowboarding Lessons,Beginner,70
2024-06-27 15:00:00,Kickinghorse,Snowboarding Lessons,Beginner Snowboarding Lessons,Beginner,70
2024-05-11 11:00:00,Kickinghorse,Snowboarding Lessons,Intermediate Snowboarding Lessons,Intermediate,70
2023-08-30 16:00:00,Kickinghorse,Snowboarding Lessons,Intermediate Snowboarding Lessons,Intermediate,70
2024-01-15 14:00:00,Kickinghorse,Snowboarding Lessons,Intermediate Snowboarding Lessons,Intermediate,70
2024-10-11 13:00:00,Kickinghorse,Snowboarding Lessons,Intermediate Snowboarding Lessons,Intermediate,70
2023-06-30 11:00:00,Kickinghorse,Snowboarding Lessons,Intermediate Snowboarding Lessons,Intermediate,70
2023-10-26 12:00:00,Kickinghorse,Snowboarding Lessons,Advanced Snowboarding Lessons,Advanced,70
2023-12-17 09:00:00,Kickinghorse,Snowboarding Lessons,Advanced Snowboarding Lessons,Advanced,70
2024-08-02 13:00:00,Kickinghorse,Snowboarding Lessons,Advanced Snowboarding Lessons,Advanced,70
2024-05-20 16:00:00,Kickinghorse,Snowboarding Lessons,Advanced Snowboarding Lessons,Advanced,70
2023-06-06 13:00:00,Kickinghorse,Snowboarding Lessons,Advanced Snowboarding Lessons,Advanced,70
2024-01-31 10:00:00,Kickinghorse,Ski Racing Lessons,Beginner Ski Racing Lessons,Beginner,100
2024-06-21 13:00:00,Kickinghorse,Ski Racing Lessons,Beginner Ski Racing Lessons,Beginner,100
2023-08-30 15:00:00,Kickinghorse,Ski Racing Lessons,Beginner Ski Racing Lessons,Beginner,100
2024-05-09 10:00:00,Kickinghorse,Ski Racing Lessons,Beginner Ski Racing Lessons,Beginner,100
2024-09-03 13:00:00,Kickinghorse,Ski Racing Lessons,Beginner Ski Racing Lessons,Beginner,100
2023-10-09 11:00:00,Kickinghorse,Ski Racing Lessons,Intermediate Ski Racing Lessons,Intermediate,100
2024-11-02 12:00:00,Kickinghorse,Ski Racing Lessons,Intermediate Ski Racing Lessons,Intermediate,100
2023-08-19 09:00:00,Kickinghorse,Ski Racing Lessons,Intermediate Ski Racing Lessons,Intermediate,100
2023-06-25 10:00:00,Kickinghorse,Ski Racing Lessons,Intermediate Ski Racing Lessons,Intermediate,100
2025-03-13 12:00:00,Kickinghorse,Ski Racing Lessons,Intermediate Ski Racing Lessons,Intermediate,100
2024-02-08 13:00:00,Kickinghorse,Ski Racing Lessons,Advanced Ski Racing Lessons,Advanced,100
2024-07-13 15:00:00,Kickinghorse,Ski Racing Lessons,Advanced Ski Racing Lessons,Advanced,100
2024-07-19 12:00:00,Kickinghorse,Ski Racing Lessons,Advanced Ski Racing Lessons,Advanced,100
2024-10-13 16:00:00,Kickinghorse,Ski Racing Lessons,Advanced Ski Racing Lessons,Advanced,100
2024-09-14 12:00:00,Kickinghorse,Ski Racing Lessons,Advanced Ski Racing Lessons,Advanced,100
2023-08-18 11:00:00,Nakiska,Safety Lessons,Ski Patrol Demonstration,Casual,25
2024-03-11 14:00:00,Nakiska,Skiing,Night Skiing Experience,Casual,100
2023-04-02 12:00:00,Nakiska,Mountain Dining,Mountain Restaurant Tasting,Casual,50
2023-10-31 14:00:00,Nakiska,Ski Equipment,Ski Instructor Workshop,Casual,75
2024-11-05 11:00:00,Nakiska,Mountain Dining,Mountain Restaurant Tasting,Casual,50
2024-12-22 11:00:00,Nakiska,Snowboarding,Ski-In Movie Night,Casual,100
2024-11-19 12:00:00,Nakiska,Skiing,Ski Hill Photography Workshop,Casual,100
2023-07-20 12:00:00,Nakiska,Ski Competitions,Ski Cross Competition,Casual,120
2023-10-28 15:00:00,Nakiska,Apres-Ski,Apres-Ski Party,Casual,30
2023-09-13 09:00:00,Nakiska,Mountain Adventure,Ski Resort Charity Event,Casual,55
2024-02-16 15:00:00,Nakiska,Apres-Ski,Ski Resort Wine Tasting,Casual,30
2023-11-16 09:00:00,Nakiska,Snowboarding,Ski-In Movie Night,Casual,100
2024-03-19 16:00:00,Nakiska,Apres-Ski,Apres-Ski Party,Casual,30
2024-05-16 16:00:00,Nakiska,Snowboarding,Snow Sculpture Contest,Casual,100
2023-08-01 12:00:00,Nakiska,Apres-Ski,Apres-Ski Party,Casual,30
2023-09-24 15:00:00,Nakiska,Safety Lessons,Ski Patrol Demonstration,Casual,25
2023-05-01 15:00:00,Nakiska,Skiing,Night Skiing Experience,Casual,100
2024-05-23 10:00:00,Nakiska,Ski Competitions,Ski Cross Competition,Casual,120
2024-08-22 12:00:00,Nakiska,Ski Competitions,Ski Cross Competition,Casual,120
2023-04-01 14:00:00,Nakiska,Ski Equipment,Ski Gear Expo,Casual,75
2024-09-16 16:00:00,Nakiska,Snowboarding,Ski-In Movie Night,Casual,100
2024-06-06 10:00:00,Nakiska,Mountain Adventure,Ski Resort Charity Event,Casual,55
2024-03-31 14:00:00,Nakiska,Safety Lessons,Ski Patrol Demonstration,Casual,25
2023-06-19 14:00:00,Nakiska,Skiing,Ski and Snowboard Festival,Casual,100
2023-07-28 16:00:00,Nakiska,Mountain Adventure,Snowshoeing Expedition,Casual,55
2024-03-02 14:00:00,Nakiska,Mountain Dining,Torchlight Parade,Casual,50
2025-01-06 10:00:00,Nakiska,Apres-Ski,Ski Resort Wine Tasting,Casual,30
2023-07-06 11:00:00,Nakiska,Mountain Adventure,Ski Resort Charity Event,Casual,55
2023-09-03 14:00:00,Nakiska,Ski Competitions,Ski Cross Competition,Casual,120
2023-03-23 11:00:00,Nakiska,Skiing,Ski Hill Photography Workshop,Casual,100
2024-10-05 10:00:00,Nakiska,Ski Competitions,Ski Cross Competition,Casual,120
2024-12-21 15:00:00,Nakiska,Skiing,Ski Marathon,Casual,100
2023-05-02 12:00:00,Nakiska,Snowboarding,Ski Gear Swap,Casual,100
2024-12-09 10:00:00,Nakiska,Apres-Ski,Apres-Ski Party,Casual,30
2023-05-11 13:00:00,Nakiska,Mountain Adventure,Ski Resort Charity Event,Casual,55
2024-01-11 13:00:00,Nakiska,Snowboarding,Ski Gear Swap,Casual,100
2023-10-08 11:00:00,Nakiska,Apres-Ski,Ski Resort Wine Tasting,Casual,30
2023-09-12 16:00:00,Nakiska,Ski Competitions,Ski Cross Competition,Casual,120
2024-09-30 14:00:00,Nakiska,Snowboarding,Ski Gear Swap,Casual,100
2023-06-09 11:00:00,Nakiska,Mountain Dining,Mountain Restaurant Tasting,Casual,50
2024-06-25 11:00:00,Nakiska,Skiing Lessons,Beginner Skiing Lessons,Beginner,70
2024-05-19 15:00:00,Nakiska,Skiing Lessons,Beginner Skiing Lessons,Beginner,70
2024-11-01 11:00:00,Nakiska,Skiing Lessons,Beginner Skiing Lessons,Beginner,70
2024-08-12 09:00:00,Nakiska,Skiing Lessons,Beginner Skiing Lessons,Beginner,70
2023-12-09 12:00:00,Nakiska,Skiing Lessons,Beginner Skiing Lessons,Beginner,70
2024-11-15 15:00:00,Nakiska,Skiing Lessons,Intermediate Skiing Lessons,Intermediate,70
2023-10-04 11:00:00,Nakiska,Skiing Lessons,Intermediate Skiing Lessons,Intermediate,70
2023-08-03 16:00:00,Nakiska,Skiing Lessons,Intermediate Skiing Lessons,Intermediate,70
2024-08-16 12:00:00,Nakiska,Skiing Lessons,Intermediate Skiing Lessons,Intermediate,70
2023-03-24 15:00:00,Nakiska,Skiing Lessons,Intermediate Skiing Lessons,Intermediate,70
2023-10-08 15:00:00,Nakiska,Skiing Lessons,Advanced Skiing Lessons,Advanced,70
2025-03-13 16:00:00,Nakiska,Skiing Lessons,Advanced Skiing Lessons,Advanced,70
2023-07-29 10:00:00,Nakiska,Skiing Lessons,Advanced Skiing Lessons,Advanced,70
2024-02-10 09:00:00,Nakiska,Skiing Lessons,Advanced Skiing Lessons,Advanced,70
2025-02-22 09:00:00,Nakiska,Skiing Lessons,Advanced Skiing Lessons,Advanced,70
2024-09-21 14:00:00,Nakiska,Snowboarding Lessons,Beginner Snowboarding Lessons,Beginner,70
2025-03-03 09:00:00,Nakiska,Snowboarding Lessons,Beginner Snowboarding Lessons,Beginner,70
2024-01-20 14:00:00,Nakiska,Snowboarding Lessons,Beginner Snowboarding Lessons,Beginner,70
2025-02-08 10:00:00,Nakiska,Snowboarding Lessons,Beginner Snowboarding Lessons,Beginner,70
2024-04-12 09:00:00,Nakiska,Snowboarding Lessons,Beginner Snowboarding Lessons,Beginner,70
2024-11-26 14:00:00,Nakiska,Snowboarding Lessons,Intermediate Snowboarding Lessons,Intermediate,70
2023-08-30 16:00:00,Nakiska,Snowboarding Lessons,Intermediate Snowboarding Lessons,Intermediate,70
2024-09-04 12:00:00,Nakiska,Snowboarding Lessons,Intermediate Snowboarding Lessons,Intermediate,70
2025-02-20 10:00:00,Nakiska,Snowboarding Lessons,Intermediate Snowboarding Lessons,Intermediate,70
2024-12-04 12:00:00,Nakiska,Snowboarding Lessons,Intermediate Snowboarding Lessons,Intermediate,70
2024-03-22 12:00:00,Nakiska,Snowboarding Lessons,Advanced Snowboarding Lessons,Advanced,70
2024-07-26 11:00:00,Nakiska,Snowboarding Lessons,Advanced Snowboarding Lessons,Advanced,70
2023-05-10 12:00:00,Nakiska,Snowboarding Lessons,Advanced Snowboarding Lessons,Advanced,70
2024-04-27 12:00:00,Nakiska,Snowboarding Lessons,Advanced Snowboarding Lessons,Advanced,70
2024-09-20 13:00:00,Nakiska,Snowboarding Lessons,Advanced Snowboarding Lessons,Advanced,70
2025-02-10 11:00:00,Nakiska,Ski Racing Lessons,Beginner Ski Racing Lessons,Beginner,100
2024-10-07 13:00:00,Nakiska,Ski Racing Lessons,Beginner Ski Racing Lessons,Beginner,100
2023-09-09 14:00:00,Nakiska,Ski Racing Lessons,Beginner Ski Racing Lessons,Beginner,100
2024-11-11 11:00:00,Nakiska,Ski Racing Lessons,Beginner Ski Racing Lessons,Beginner,100
2024-07-24 15:00:00,Nakiska,Ski Racing Lessons,Beginner Ski Racing Lessons,Beginner,100
2024-10-27 11:00:00,Nakiska,Ski Racing Lessons,Intermediate Ski Racing Lessons,Intermediate,100
2023-11-13 11:00:00,Nakiska,Ski Racing Lessons,Intermediate Ski Racing Lessons,Intermediate,100
2023-07-04 12:00:00,Nakiska,Ski Racing Lessons,Intermediate Ski Racing Lessons,Intermediate,100
2025-03-08 14:00:00,Nakiska,Ski Racing Lessons,Intermediate Ski Racing Lessons,Intermediate,100
2024-01-09 15:00:00,Nakiska,Ski Racing Lessons,Intermediate Ski Racing Lessons,Intermediate,100
2023-03-19 11:00:00,Nakiska,Ski Racing Lessons,Advanced Ski Racing Lessons,Advanced,100
2024-03-26 10:00:00,Nakiska,Ski Racing Lessons,Advanced Ski Racing Lessons,Advanced,100
2023-06-23 16:00:00,Nakiska,Ski Racing Lessons,Advanced Ski Racing Lessons,Advanced,100
2024-06-29 16:00:00,Nakiska,Ski Racing Lessons,Advanced Ski Racing Lessons,Advanced,100
2024-07-29 16:00:00,Nakiska,Ski Racing Lessons,Advanced Ski Racing Lessons,Advanced,100
2023-09-13 15:00:00,Sunshine,Mountain Adventure,Ski Resort Charity Event,Casual,55
2024-07-18 11:00:00,Sunshine,Mountain Dining,Torchlight Parade,Casual,50
2024-09-20 09:00:00,Sunshine,Skiing,Ski and Snowboard Festival,Casual,100
2025-03-03 10:00:00,Sunshine,Ski Competitions,Ski Cross Competition,Casual,120
2023-12-14 15:00:00,Sunshine,Apres-Ski,Apres-Ski Party,Casual,30
2024-08-12 10:00:00,Sunshine,Ski Equipment,Ski Instructor Workshop,Casual,75
2023-12-08 13:00:00,Sunshine,Mountain Dining,Mountain Restaurant Tasting,Casual,50
2024-12-29 14:00:00,Sunshine,Ski Competitions,Ski Cross Competition,Casual,120
2025-01-25 10:00:00,Sunshine,Mountain Dining,Torchlight Parade,Casual,50
2024-05-13 14:00:00,Sunshine,Mountain Adventure,Snowshoeing Expedition,Casual,55
2023-12-22 09:00:00,Sunshine,Ski Competitions,Ski Cross Competition,Casual,120
2023-09-14 11:00:00,Sunshine,Skiing,Night Skiing Experience,Casual,100
2023-08-27 11:00:00,Sunshine,Mountain Adventure,Ski Resort Charity Event,Casual,55
2024-12-25 10:00:00,Sunshine,Apres-Ski,Ski Resort Wine Tasting,Casual,30
2025-01-26 10:00:00,Sunshine,Ski Competitions,Ski Cross Competition,Casual,120
2024-12-30 09:00:00,Sunshine,Skiing,Ski Marathon,Casual,100
2023-09-30 15:00:00,Sunshine,Mountain Dining,Mountain Restaurant Tasting,Casual,50
2024-01-30 12:00:00,Sunshine,Mountain Adventure,Snowshoeing Expedition,Casual,55
2024-02-20 14:00:00,Sunshine,Mountain Dining,Torchlight Parade,Casual,50
2023-10-18 16:00:00,Sunshine,Apres-Ski,Apres-Ski Party,Casual,30
2023-08-04 10:00:00,Sunshine,Mountain Dining,Torchlight Parade,Casual,50
2025-03-04 14:00:00,Sunshine,Snowboarding,Ski-In Movie Night,Casual,100
2024-01-20 09:00:00,Sunshine,Ski Equipment,Ski Instructor Workshop,Casual,75
2024-01-04 09:00:00,Sunshine,Ski Competitions,Ski Cross Competition,Casual,120
2023-06-30 10:00:00,Sunshine,Apres-Ski,Ski Resort Wine Tasting,Casual,30
2023-06-29 09:00:00,Sunshine,Mountain Adventure,Snowshoeing Expedition,Casual,55
2024-10-26 14:00:00,Sunshine,Safety Lessons,Ski Patrol Demonstration,Casual,25
2023-12-25 14:00:00,Sunshine,Ski Equipment,Ski Gear Expo,Casual,75
2025-02-07 14:00:00,Sunshine,Snowboarding,Freestyle Ski Show,Casual,100
2024-05-21 14:00:00,Sunshine,Ski Equipment,Ski Instructor Workshop,Casual,75
2023-11-23 16:00:00,Sunshine,Snowboarding,Freestyle Ski Show,Casual,100
2023-04-18 15:00:00,Sunshine,Safety Lessons,Ski Patrol Demonstration,Casual,25
2024-08-30 12:00:00,Sunshine,Ski Equipment,Ski Gear Expo,Casual,75
2025-01-13 11:00:00,Sunshine,Mountain Adventure,Snowshoeing Expedition,Casual,55
2023-08-02 16:00:00,Sunshine,Apres-Ski,Ski Resort Wine Tasting,Casual,30
2023-12-05 09:00:00,Sunshine,Safety Lessons,Ski Patrol Demonstration,Casual,25
2024-01-10 12:00:00,Sunshine,Ski Competitions,Ski Cross Competition,Casual,120
